"reco_id","user_id","car_id"
1,1,1
2,1,2
3,1,3
4,2,4
5,2,5
6,2,6
7,3,7
8,3,8
9,3,9
10,4,10
11,4,11
12,4,12
13,5,13
14,5,14
15,5,15
16,6,16
17,6,17
18,6,18
19,7,19
20,7,20
21,7,21
22,8,22
23,8,23
24,8,24
25,9,25
26,9,26
27,9,27
28,10,28
29,10,29
30,10,30
31,11,31
32,11,32
33,11,33
34,12,34
35,12,35
36,12,36
37,13,37
38,13,38
39,13,39
40,14,40
41,14,41
42,14,42
43,15,43
44,15,44
45,15,45
46,16,46
47,16,47
48,16,48
49,17,49
50,17,50
51,17,51
52,18,52
53,18,53
54,18,54
55,19,55
56,19,56
57,19,57
58,20,58
59,20,59
60,20,60
61,21,61
62,21,62
63,21,63
64,22,64
65,22,65
66,22,66
67,23,67
68,23,68
69,23,69
70,24,70
71,24,71
72,24,72
73,25,73
74,25,74
75,25,75
76,26,76
77,26,77
78,26,78
79,27,79
80,27,80
81,27,81
82,28,82
83,28,83
84,28,84
85,29,85
86,29,86
87,29,87
88,30,88
89,30,89
90,30,90
91,31,91
92,31,92
93,31,93
94,32,94
95,32,95
96,32,96
97,33,97
98,33,98
99,33,99
100,34,100
101,34,101
102,34,102
103,35,103
104,35,104
105,35,105
106,36,106
107,36,107
108,36,108
109,37,109
110,37,110
111,37,111
112,38,112
113,38,113
114,38,114
115,39,115
116,39,116
117,39,117
118,40,1
119,40,2
120,40,3
121,41,4
122,41,5
123,41,6
124,42,7
125,42,8
126,42,9
127,43,10
128,43,11
129,43,12
130,44,13
131,44,14
132,44,15
133,45,16
134,45,17
135,45,18
136,46,19
137,46,20
138,46,21
139,47,22
140,47,23
141,47,24
142,48,25
143,48,26
144,48,27
145,49,28
146,49,29
147,49,30
148,50,31
149,50,32
150,50,33
151,51,34
152,51,35
153,51,36
154,52,37
155,52,38
156,52,39
157,53,40
158,53,41
159,53,42
160,54,43
161,54,44
162,54,45
163,55,46
164,55,47
165,55,48
166,56,49
167,56,50
168,56,51
169,57,52
170,57,53
171,57,54
172,58,55
173,58,56
174,58,57
175,59,58
176,59,59
177,59,60
178,60,61
179,60,62
180,60,63
181,61,64
182,61,65
183,61,66
184,62,67
185,62,68
186,62,69
187,63,70
188,63,71
189,63,72
190,64,73
191,64,74
192,64,75
193,65,76
194,65,77
195,65,78
196,66,79
197,66,80
198,66,81
199,67,82
200,67,83
201,67,84
202,68,85
203,68,86
204,68,87
205,69,88
206,69,89
207,69,90
208,70,91
209,70,92
210,70,93
211,71,94
212,71,95
213,71,96
214,72,97
215,72,98
216,72,99
217,73,100
218,73,101
219,73,102
220,74,103
221,74,104
222,74,105
223,75,106
224,75,107
225,75,108
226,76,109
227,76,110
228,76,111
229,77,112
230,77,113
231,77,114
232,78,115
233,78,116
234,78,117
235,79,1
236,79,2
237,79,3
238,80,4
239,80,5
240,80,6
241,81,7
242,81,8
243,81,9
244,82,10
245,82,11
246,82,12
247,83,13
248,83,14
249,83,15
250,84,16
251,84,17
252,84,18
253,85,19
254,85,20
255,85,21
256,86,22
257,86,23
258,86,24
259,87,25
260,87,26
261,87,27
262,88,28
263,88,29
264,88,30
265,89,31
266,89,32
267,89,33
268,90,34
269,90,35
270,90,36
271,91,37
272,91,38
273,91,39
274,92,40
275,92,41
276,92,42
277,93,43
278,93,44
279,93,45
280,94,46
281,94,47
282,94,48
283,95,49
284,95,50
285,95,51
286,96,52
287,96,53
288,96,54
289,97,55
290,97,56
291,97,57
292,98,58
293,98,59
294,98,60
295,99,61
296,99,62
297,99,63
298,100,64
299,100,65
300,100,66
